Date,G_5th,G_50th,G_95th,z_5th,z_50th,z_95th
2061,0.6567496801032795,1.0503770478055372,1.5900044155077948,7.744326589345931,10.185600501139959,13.920727807839711
2062,0.6577496801032795,1.053377047805537,1.5980044155077948,7.847326589345933,10.33860050113996,14.155727807839712
2063,0.6577496801032795,1.0563770478055372,1.6060044155077948,7.949326589345931,10.490600501139959,14.388727807839711
2064,0.6587496801032795,1.0583770478055372,1.6140044155077948,8.050326589345932,10.64260050113996,14.621727807839711
2065,0.6587496801032795,1.061377047805537,1.6210044155077947,8.150326589345932,10.792600501139958,14.852727807839711
2066,0.6587496801032795,1.063377047805537,1.6280044155077948,8.250326589345931,10.941600501139959,15.082727807839712
2067,0.6587496801032795,1.065377047805537,1.6340044155077948,8.348326589345932,11.090600501139958,15.310727807839712
2068,0.6587496801032795,1.067377047805537,1.6400044155077949,8.446326589345933,11.237600501139958,15.537727807839712
2069,0.6577496801032795,1.0683770478055372,1.6460044155077949,8.543326589345932,11.385600501139958,15.762727807839712
2070,0.6577496801032795,1.0703770478055372,1.6510044155077948,8.640326589345932,11.531600501139959,15.984727807839711
2071,0.6577496801032795,1.0723770478055372,1.6560044155077949,8.736326589345932,11.67760050113996,16.20472780783971
2072,0.6567496801032795,1.073377047805537,1.6600044155077949,8.832326589345932,11.82260050113996,16.42272780783971
2073,0.6567496801032795,1.0753770478055371,1.6640044155077949,8.926326589345932,11.96660050113996,16.63872780783971
2074,0.6557496801032795,1.0763770478055372,1.6670044155077948,9.019326589345932,12.109600501139958,16.852727807839713
2075,0.6547496801032795,1.0773770478055371,1.6700044155077949,9.111326589345932,12.25160050113996,17.06372780783971
2076,0.6547496801032795,1.0793770478055371,1.6730044155077948,9.201326589345932,12.391600501139958,17.27272780783971
2077,0.6537496801032795,1.0803770478055372,1.6760044155077949,9.289326589345931,12.529600501139958,17.479727807839712
2078,0.6527496801032795,1.0823770478055372,1.6780044155077949,9.375326589345931,12.66560050113996,17.683727807839713
2079,0.6517496801032795,1.0833770478055371,1.6790044155077948,9.459326589345931,12.79960050113996,17.88572780783971
2080,0.6507496801032795,1.0853770478055371,1.6810044155077948,9.540326589345932,12.93160050113996,18.084727807839712
2081,0.6497496801032795,1.0863770478055372,1.682004415507795,9.618326589345932,13.060600501139959,18.28172780783971
2082,0.6497496801032795,1.0883770478055372,1.6830044155077948,9.694326589345932,13.18760050113996,18.476727807839712
2083,0.6487496801032795,1.0903770478055372,1.6830044155077948,9.767326589345931,13.311600501139958,18.669727807839713
2084,0.6477496801032795,1.0923770478055372,1.6830044155077948,9.838326589345932,13.433600501139958,18.860727807839712
2085,0.6467496801032795,1.0943770478055372,1.6830044155077948,9.908326589345931,13.554600501139959,19.049727807839712
2086,0.6457496801032795,1.0963770478055372,1.682004415507795,9.976326589345932,13.672600501139959,19.238727807839712
2087,0.6457496801032795,1.0983770478055372,1.682004415507795,10.043326589345932,13.789600501139958,19.42572780783971
2088,0.6447496801032795,1.1013770478055371,1.6810044155077948,10.109326589345931,13.904600501139958,19.61272780783971
2089,0.6437496801032795,1.1033770478055371,1.6790044155077948,10.175326589345932,14.018600501139959,19.79872780783971
2090,0.6437496801032795,1.1063770478055373,1.6780044155077949,10.240326589345932,14.131600501139959,19.98472780783971
2091,0.6427496801032795,1.1093770478055371,1.6760044155077949,10.305326589345931,14.243600501139959,20.17072780783971
2092,0.6427496801032795,1.1123770478055373,1.6740044155077949,10.371326589345932,14.35460050113996,20.35672780783971
2093,0.6417496801032795,1.1163770478055373,1.6720044155077949,10.43732658934593,14.464600501139959,20.543727807839712
2094,0.6417496801032795,1.1193770478055372,1.6690044155077948,10.504326589345931,14.574600501139958,20.730727807839713
2095,0.6417496801032795,1.1233770478055372,1.6660044155077949,10.572326589345932,14.683600501139958,20.919727807839713
2096,0.6407496801032795,1.1283770478055373,1.6630044155077948,10.642326589345931,14.79360050113996,21.108727807839713
2097,0.6407496801032795,1.1323770478055373,1.6600044155077949,10.713326589345932,14.90260050113996,21.299727807839712
2098,0.6407496801032795,1.1373770478055372,1.6570044155077948,10.786326589345931,15.01160050113996,21.49272780783971
2099,0.6417496801032795,1.1423770478055373,1.6530044155077948,10.862326589345932,15.121600501139959,21.68772780783971
2100,0.6417496801032795,1.1483770478055373,1.6500044155077949,10.940326589345931,15.231600501139958,21.884727807839713
