Date,G_5th,G_50th,G_95th,z_5th,z_50th,z_95th
2006,0.19610277410771548,0.19430571444538958,0.19250865478306356,1.2673176447550456,1.1552941242853803,1.034024397532145
2007,0.2008960592487794,0.19914745168197379,0.19739884411516828,1.1293598333994548,1.0599475542704266,0.9284899632136026
2008,0.20410340177855968,0.20256150978796328,0.20101961779736688,1.361531130472819,1.2441087404886884,1.0674397150675454
2009,0.2118275169832221,0.2105020285401451,0.20917654009706776,1.5469021717707316,1.4073379675547284,1.281640032927195
2010,0.2322841691712153,0.2310521212254053,0.22982007327959508,1.5326156536738078,1.3625635544459027,1.1617852846781411
2011,0.25384234639824776,0.25287730336410397,0.25191226032996017,1.6468517700831096,1.4765141050020856,1.2753678361574807
2012,0.2898214036511141,0.28891474570322173,0.2880080877553295,1.7865447918574016,1.6403919498125714,1.4558114210764566
2013,0.31516356244448696,0.3142620390661083,0.3133605156877295,2.005209795633952,1.8336986939112347,1.642503390709559
2014,0.3450030313899318,0.3439624581179799,0.34292188484602804,2.1620186785856883,1.989441368977229,1.7784361640612283
2015,0.3741561967059863,0.37339155301668436,0.3726269093273824,2.3245168844858806,2.1969080607096356,1.9995170632998147
2016,0.3980698022066558,0.39763378744567335,0.3971977726846908,2.2997782746950786,2.169684473673503,2.017601410547892
2017,0.4170470845511819,0.419237770956321,0.42142845736145995,2.4840359608332316,2.32726997534434,2.156850198904673
2018,0.2946104032540632,0.4442377709563209,0.5658651386585786,2.1569960714975993,2.47926997534434,2.901397288004557
2019,0.30861040325406314,0.4692377709563209,0.6028651386585786,2.2769960714975994,2.63426997534434,3.120397288004557
2020,0.32361040325406315,0.49523777095632093,0.6398651386585786,2.3989960714975993,2.7902699753443403,3.343397288004557
2021,0.33861040325406316,0.520237770956321,0.6768651386585786,2.522996071497599,2.94826997534434,3.569397288004557
2022,0.3536104032540632,0.546237770956321,0.7128651386585786,2.647996071497599,3.1092699753443402,3.798397288004557
2023,0.36961040325406314,0.5712377709563209,0.7498651386585786,2.774996071497599,3.27226997534434,4.030397288004557
2024,0.38661040325406315,0.5972377709563209,0.7868651386585785,2.903996071497599,3.43826997534434,4.266397288004557
2025,0.40261040325406316,0.6222377709563209,0.8238651386585786,3.032996071497599,3.60626997534434,4.504397288004556
2026,0.4206104032540632,0.648237770956321,0.8608651386585785,3.1639960714975994,3.77726997534434,4.746397288004557
2027,0.4376104032540632,0.674237770956321,0.8978651386585786,3.295996071497599,3.95026997534434,4.990397288004557
2028,0.4556104032540632,0.7002377709563209,0.9338651386585787,3.429996071497599,4.1272699753443405,5.238397288004556
2029,0.4736104032540631,0.7252377709563209,0.9708651386585786,3.5639960714975993,4.30726997534434,5.489397288004557
2030,0.49161040325406313,0.7512377709563209,1.0068651386585787,3.698996071497599,4.49026997534434,5.743397288004557
2031,0.5106104032540631,0.777237770956321,1.0438651386585787,3.8349960714975992,4.67626997534434,6.000397288004557
2032,0.5296104032540632,0.803237770956321,1.0798651386585787,3.9719960714975993,4.8662699753443395,6.260397288004556
2033,0.5486104032540632,0.8282377709563209,1.1168651386585786,4.108996071497599,5.059269975344341,6.523397288004556
2034,0.5676104032540632,0.8542377709563209,1.1528651386585786,4.2479960714975995,5.255269975344341,6.789397288004556
2035,0.5876104032540632,0.8802377709563208,1.1888651386585787,4.386996071497599,5.45426997534434,7.057397288004557
2036,0.6076104032540631,0.905237770956321,1.2248651386585787,4.526996071497599,5.65626997534434,7.329397288004557
